email,class code,
SKA0004,"09BYT-B7,09ENG-G,09FA-G,09GEO-G,09HIS-G,09MAT-2b,09PEd-G,09SCI-2b,093DM-2,09ICT-1,09CTc-4,09VIS-3"
SKA0005,"09BYT-B7,09ENG-H,09FA-H,09GEO-H,09HIS-H,09MAE-2,09PEd-H,09SCE-2,093DM-1,09MSL-2,09GMN-2"
SKA0007,"08ACE-D,08ENG-D,08FA-D,08FRE-D,08GEO-D,08HIS-D,08MAT-1b,08MES-NonStr,08MUS-D,08PEd-D,08SCI-1b,08V3D-D,08Spt-1-CricketM1"
PAT0024,"07ART-I,07ENG-I,07FA-I,07FOO-I,07GEO-I,07GMN-I,07HIS-I,07ICT-I,07MAT-I,07MUS-I,07PEd-I,07SCI-I,07SPT-1-Multisports1,07SPT-2-Multisports"
PAT0025,"07ART-G,07ENG-G,07FA-G,07FOO-G,07GEO-G,07GMN-G,07HIS-G,07ICT-G,07MAE-2,07MEB-Bnd1,07MUS-G,07PEd-G,07SCE-2,07SPT-1-CricketM1"
HAO0001,"10EAL-1,10FA-D,10GEO-1b,10HIS-1a,10MAT-1a,10PEd-D,10SCI-1a,103DM-1,10FIL-1,10ICT-1,10OEd-6"
KOT0010,"07ART-C,07ENG-C,07FA-C,07FOO-C,07GEO-C,07GMN-C,07HIS-C,07ICT-C,07MAT-1a,07MUS-C,07PEd-C,07SCI-1a,07SPT-1-TennisM1"
GEO0008,"11FA-D,12LEG-1,11MGM-2,11MMe-5,11ENG-7,11PHY-3,11Ext-4"
GEO0009,"10ENG-H,10FA-H,10HIE-2a,10HIE-2b,10MAT-2a,10PEd-H,10SCI-2a,10DRA-1,10MAd-2,10FIL-3,10LIT-1"
HUT0004,"12LEG-1,12ENG-2,12PHY-2,12MFu-4,12MMe-5"
KAE0005,"10ENG-I,10FA-I,10GEO-I,10HIS-I,10MAT-I,10PEd-I,10SCI-I,10MuP-1,10FIL-3,10HMv-2"
DUC0001,"11FA-C,11PSY-1,11ThS-1,11MMe-3,11ENG-7,11LIT-1,11BIO-3"
HUT0007,"11FA-E,11FOO-1,12VCALL,12VCALN,12VCALP,12VCALS"
